DISTRICT,Jul-23,May-24,Nov-23,Jul-24,Rise (+) / Fall (-) from Current Water Level,Rainfall(in mm)<br>01/06/2024 to 10/08/2024
Srikakulam,7.52,10.02,6.75,7.96,-0.44,2.05,-1.22,373.35,413.19,10.67
Vizianagaram,4.70,6.64,4.76,4.26,0.43,2.38,0.50,350.75,447.52,27.59
Parvathipuram Manyam,6.57,8.13,6.04,7.00,-0.43,1.13,-0.96,415.22,438.92,5.71
Alluri Sitharama Raju,8.15,9.06,7.64,7.82,0.34,1.24,-0.18,542.79,599.43,10.43
Visakhapatnam,8.94,10.82,8.19,8.38,0.56,2.45,-0.19,298.00,432.01,44.97
Anakapalli,5.95,8.00,6.24,5.39,0.56,2.61,0.85,347.98,463.00,33.05
Kakinada,8.30,9.80,7.20,7.15,1.15,2.65,0.05,372.76,491.56,31.87
Konaseema,3.30,3.80,3.04,3.24,0.06,0.56,-0.20,431.20,577.14,33.85
East Godavari,23.66,24.77,23.08,21.84,1.82,2.93,1.25,453.62,654.44,44.27
West Godavari,8.43,9.00,8.23,8.09,0.34,0.91,0.14,440.68,605.66,37.44
Eluru,20.21,23.67,20.77,20.26,-0.04,3.42,0.51,430.53,728.93,69.31
Krishna,8.54,10.21,8.82,9.77,-1.23,0.44,-0.94,340.60,471.68,38.49
NTR,5.79,8.42,6.16,5.91,-0.12,2.52,0.26,408.02,610.06,49.52
Guntur,5.84,7.20,4.66,5.51,0.33,1.70,-0.85,310.38,419.64,35.20
Bapatla,3.75,4.46,3.34,4.09,-0.34,0.37,-0.75,234.36,339.37,44.81
Palnadu,11.12,14.88,12.52,12.54,-1.43,2.34,-0.03,257.60,309.57,20.17
Prakasam,16.73,21.59,17.73,21.58,-4.85,0.01,-3.85,173.67,211.73,21.92
Sri Potti Sriramulu Nellore,6.03,7.09,6.92,7.35,-1.32,-0.26,-0.43,164.89,215.82,30.89
COASTAL ANDHRA REGION,9.09,10.98,9.01,9.34,-0.26,1.64,-0.34,288.60,371.67,27.18
Kurnool,7.82,10.35,7.80,8.73,-0.91,1.62,-0.93,202.30,222.02,9.75
Nandyal,7.27,10.83,7.06,7.84,-0.58,2.99,-0.79,269.47,313.79,16.45
Ananthapuramu,8.57,15.22,10.04,13.32,-4.75,1.90,-3.28,148.23,194.18,31.00
Sri Sathya Sai,9.28,20.44,10.50,13.89,-4.61,6.55,-3.39,165.29,208.07,25.88
Y.S.R Kadapa,8.34,13.90,8.78,12.86,-4.52,1.04,-4.08,206.69,220.72,6.79
Annamayya,10.10,18.13,11.45,16.81,-6.71,1.32,-5.36,203.96,237.04,16.22
Chittoor,9.51,13.83,8.91,12.60,-3.09,1.23,-3.69,233.03,315.75,35.50
Tirupati,6.68,6.78,5.63,6.86,-0.18,-0.08,-1.23,222.24,265.20,19.33
RAYALASEEMA REGION,8.45,13.69,8.77,11.61,-3.17,2.07,-2.84,216.44,265.15,21.60
