District,Village,Latitude,Longitude,Pre-Monsoon Level (m),Post-Monsoon Level (m),Annual Rainfall (mm),Population Density (people/sq km),Land Use Type,Surface Elevation (m),Year
Gurgaon,Sohna,30.39608129,76.97587201,7.977610168,7.27921888,762.1403647,454.519499,Agricultural,278.6592314,2018
Gurgaon,Wazirabad,30.48643353,77.14373615,11.86937235,9.138388722,883.8782476,1832.835949,Urban,273.2801976,2018
Hisar,Mirzapur,29.03871762,76.06211491,21.2062725,19.29383764,553.6355054,1123.379753,Agricultural,285.2731961,2018
Rohtak,Samar Gopalpur,28.79543205,76.29448762,21.57149457,20.94370961,947.7811727,1534.066659,Agricultural,217.4111851,2018
Rohtak,Kiloi,30.24416987,77.19894149,19.26518388,17.69501097,773.7209995,538.1067348,Agricultural,287.7218404,2018
Hisar,Mithathal,29.54324525,76.2623431,14.43055428,10.55789386,725.09153,1024.129569,Urban,234.1445735,2018
Hisar,Mangali,28.28914541,77.4964785,17.19362371,16.15054743,444.3109488,1103.140291,Agricultural,270.9267326,2018
Panipat,Bapoli,28.48090157,76.81763211,23.87186432,19.68642643,871.0212452,1184.714859,Urban,228.4549456,2018
Panipat,Asan Khurd,29.05275167,76.23017597,20.84202549,16.42537148,417.5376738,1070.67797,Urban,246.1785673,2018
Hisar,Mirzapur,29.29786522,77.49804488,8.59054073,4.963442314,484.0541711,1945.027679,Agricultural,215.7724088,2018
Rohtak,Kahnaur,30.07622677,76.68496499,18.21492695,13.61375874,706.1831944,905.7702974,Agricultural,231.8212177,2018
Gurgaon,Manesar,29.52363731,76.90728985,17.06221598,12.50366302,988.7433763,1078.520868,Forest,220.6044028,2018
Hisar,Mithathal,29.37649083,76.61876519,17.48228917,16.42611903,915.3832353,1882.412855,Forest,285.3627752,2018
Ambala,Bilaspur,28.07531001,76.86186947,24.29823605,19.52034286,788.4560245,1405.674788,Forest,211.0135893,2018
Gurgaon,Badshahpur,29.00894326,77.48682247,18.76344673,15.07436073,834.5124805,924.1392769,Forest,218.5322546,2018
Ambala,Bilaspur,30.34177006,76.05612362,16.44254428,11.88390423,668.8495662,1899.624971,Agricultural,255.8686541,2018
Ambala,Bilaspur,29.22730194,77.07425401,9.603216679,6.340197405,645.1351028,936.9563094,Urban,260.1711398,2018
Hisar,Mangali,29.78452001,76.67237882,18.48480415,14.37183673,954.3218474,1900.801689,Forest,216.899869,2018
Rohtak,Kahnaur,29.20777402,77.16935323,17.13784485,12.64439261,428.0860051,920.8073858,Urban,211.1048022,2018
Ambala,Kardhan,28.59938778,76.48181132,12.59231193,8.229329906,631.244641,1928.731917,Agricultural,268.9217686,2018
Hisar,Mangali,29.91938061,76.10348731,16.15564283,14.4211917,514.7887297,174.1929437,Forest,294.095612,2018
Panipat,Chulkana,28.66011646,76.41304973,6.651887978,3.436907357,810.5546807,1187.459769,Agricultural,240.0251785,2018
Gurgaon,Badshahpur,28.84201647,76.50401052,18.13764357,13.21520419,971.3921737,214.1070809,Forest,235.9055831,2018
Gurgaon,Sohna,30.47949113,77.29761882,12.91106704,10.42049921,887.3504581,243.5143319,Urban,240.1247366,2018
Ambala,Majra,28.01004573,76.9201207,11.76708006,11.04520811,447.9610194,280.9688925,Urban,209.4541027,2018
Ambala,Khanpur,29.33886292,76.16204262,19.33782855,17.64065905,667.3182935,426.6569208,Forest,267.3168701,2018
Rohtak,Kahnaur,29.12372626,76.6255022,12.76407868,10.41735566,899.3483433,1405.313018,Urban,241.2248844,2018
Gurgaon,Sohna,29.15033453,76.43198325,12.94458017,7.99334737,440.1261695,1773.473602,Forest,273.4564661,2018
Panipat,Bapoli,28.70831983,76.07726758,19.95950194,16.12022384,517.6741313,1936.572645,Forest,246.9125411,2018
Hisar,Mirzapur,29.09208893,76.83238381,12.29724221,9.662115416,448.3665147,261.0941101,Urban,211.4931418,2018
Gurgaon,Farrukhnagar,29.12210775,76.20058693,9.061306676,4.690621705,478.9525884,130.5725702,Forest,263.3586268,2018
Gurgaon,Badshahpur,29.6268318,76.14676442,23.99484827,22.83275829,472.1885576,888.864845,Urban,267.7781775,2018
Rohtak,Kahnaur,30.22524048,76.97218314,11.09230772,9.046324461,856.2365356,712.1704827,Urban,226.496539,2018
Hisar,Mirzapur,28.63994029,77.24505663,7.86917578,4.526746596,909.0562919,1885.599513,Forest,222.2766062,2018
Rohtak,Makrauli,30.30627458,76.71288482,7.186724649,6.150149091,505.3893072,404.0968032,Agricultural,211.5874725,2018
Panipat,Bapoli,29.07225824,76.87456761,11.04356088,9.169751905,958.9883619,650.5641108,Forest,213.0969785,2018
Panipat,Bhodwal Majri,30.33238249,76.98722964,13.11120927,11.87932011,747.9603657,1037.790373,Urban,289.2881777,2018
Gurgaon,Farrukhnagar,29.01154324,77.4739256,9.977300919,8.492824127,772.7358958,1215.694775,Urban,205.5332867,2018
Gurgaon,Farrukhnagar,28.34753265,76.47288747,12.07406936,7.177582508,998.2870039,237.8108618,Urban,294.1852233,2018
Panipat,Bapoli,30.3900908,77.23944524,19.03282467,17.20678704,471.7973129,836.7925173,Agricultural,244.3685987,2018
Ambala,Kardhan,28.51402256,76.19684093,10.50038582,5.638045357,822.329708,651.9958016,Urban,216.434218,2018
Rohtak,Sunari Kalan,28.88343118,76.4271367,6.067027559,3.926283606,653.2237096,397.0595813,Urban,233.4104819,2018
Panipat,Chulkana,29.18803658,76.85778284,11.38251307,6.84673753,966.0015693,1182.246819,Urban,259.732509,2018
Hisar,Balsamand,28.85635813,76.82046322,10.33370966,7.138290727,823.7453763,842.305255,Forest,281.2328489,2018
Rohtak,Kiloi,28.61524343,76.10002409,16.78057533,15.27931811,578.7552664,1857.846574,Urban,250.4102619,2018
Panipat,Bhodwal Majri,28.46703634,76.2175687,18.95932994,16.8470502,844.2235486,1967.127408,Forest,295.3362522,2018
Panipat,Chulkana,30.1572864,77.11280393,20.33437951,15.44575249,693.8095392,125.3625493,Forest,274.1152337,2018
Ambala,Kardhan,30.07179338,76.90949136,12.77652186,9.960767789,484.1242881,1392.70834,Forest,276.0728094,2018
Panipat,Bapoli,30.42391273,76.52895071,19.91013297,17.70884837,707.3791697,1499.857818,Agricultural,248.8425213,2018
Hisar,Mirzapur,28.70949896,76.33714772,24.16193824,22.15260753,866.0975096,1107.940486,Forest,213.2763889,2018
Ambala,Khanpur,28.52649486,76.45120654,17.82379153,14.36147568,469.938287,1739.032406,Urban,296.8618712,2018
Gurgaon,Wazirabad,30.10099063,77.45518205,9.579963848,7.891179675,510.6207945,1160.276344,Urban,242.3851756,2018
Hisar,Mangali,28.39889316,76.53408637,18.22933485,15.97455151,918.7213085,1325.068781,Agricultural,299.735771,2018
Ambala,Majra,30.35365995,76.44746718,6.676050192,5.966037851,647.3882571,1798.84384,Urban,273.9648186,2018
Panipat,Bapoli,29.03872104,76.73522479,17.03630068,13.59440685,870.0560706,685.8829382,Urban,255.3728194,2018
Ambala,Bilaspur,28.19402933,77.26158638,9.583071718,7.519964454,829.1257416,1071.451418,Agricultural,282.3832836,2018
